idx1,idx2,distance,sample_count,merge_id
543,627,8.777916106,4,656
332,366,8.789346473,2,657
359,360,8.802069059,2,658
219,240,8.804010146,2,659
203,329,8.849830893,2,660
7,238,8.887074859,2,661
172,302,8.890411894,2,662
54,112,8.89649576,2,663
180,501,8.924234705,2,664
43,485,9.00497729,2,665
233,498,9.007213123,2,666
87,505,9.09842623,2,667
0,1,9.109337243,2,668
522,574,9.114028981,5,669
74,464,9.132671157,2,670
19,559,9.155774866,3,671
466,564,9.165617458,3,672
471,517,9.186961018,3,673
132,197,9.274096689,2,674
53,561,9.280996508,3,675
370,571,9.289779545,3,676
166,585,9.321046934,3,677
8,390,9.328158721,2,678
447,590,9.331294076,4,679
214,591,9.35138102,3,680
384,525,9.380950765,3,681
63,392,9.388111863,2,682
222,232,9.395040804,2,683
450,530,9.399820638,3,684
470,541,9.448286226,3,685
225,286,9.450495437,2,686
246,634,9.47047085,3,687
245,361,9.484101133,2,688
86,566,9.500541241,3,689
50,352,9.541300942,2,690
145,362,9.563371889,2,691
150,508,9.654929995,2,692
253,339,9.722835671,2,693
239,442,9.738266965,2,694
322,660,9.768321578,3,695
30,469,9.777535693,2,696
108,389,9.798293957,2,697
228,666,9.864925897,3,698
326,420,9.906211298,2,699
292,558,9.909010515,3,700
52,58,9.91367639,2,701
27,586,9.917302341,3,702
107,480,9.931483237,2,703
249,624,9.931723809,3,704
69,603,10.06604079,3,705
552,604,10.07730811,4,706
181,258,10.0899357,2,707
102,618,10.09814032,3,708
81,601,10.10027488,4,709
317,653,10.10510531,3,710
99,506,10.11831301,2,711
105,323,10.13110553,2,712
91,438,10.14302571,2,713
320,644,10.16175898,4,714
281,681,10.16321933,4,715
18,598,10.16361786,3,716
544,567,10.17783535,4,717
513,602,10.18151488,3,718
61,609,10.196755,3,719
439,575,10.22986853,3,720
88,570,10.25977933,3,721
194,459,10.30694787,2,722
20,542,10.31376618,3,723
154,477,10.34674659,2,724
162,282,10.35165076,2,725
130,426,10.40052477,2,726
209,269,10.40158463,2,727
378,572,10.4020521,3,728
436,453,10.42842119,2,729
515,553,10.49293724,4,730
65,187,10.49590863,2,731
134,328,10.50772298,2,732
78,582,10.50972568,3,733
28,38,10.54389509,2,734
49,261,10.55039404,2,735
216,441,10.56823977,2,736
201,704,10.58131657,4,737
311,545,10.58670619,3,738
192,371,10.62389846,2,739
463,580,10.63130875,3,740
231,455,10.63173561,2,741
70,577,10.69103018,4,742
141,422,10.69603963,2,743
599,631,10.69951134,4,744
45,521,10.70856017,3,745
122,573,10.73099407,3,746
217,682,10.76192707,3,747
254,468,10.7828328,2,748
146,375,10.84611609,2,749
557,642,10.86241358,4,750
433,610,10.9010635,3,751
257,596,10.91235954,4,752
55,114,10.93361097,2,753
167,648,10.94062432,3,754
489,696,10.96093659,3,755
135,641,11.00233717,3,756
98,421,11.00262024,2,757
548,633,11.06411983,5,758
200,242,11.07273932,2,759
48,327,11.07878439,2,760
2,11,11.12291333,2,761
47,694,11.15482525,3,762
118,443,11.19143489,2,763
103,667,11.19829052,3,764
519,562,11.2700278,4,765
276,620,11.34540623,4,766
274,275,11.35670165,2,767
56,414,11.37207187,2,768
365,583,11.37629569,3,769
121,335,11.40186783,2,770
399,643,11.4036491,3,771
22,267,11.4185945,2,772
402,512,11.4392902,2,773
536,595,11.45533202,4,774
126,520,11.46757862,3,775
236,460,11.53608145,2,776
215,380,11.55332259,2,777
168,623,11.56514117,3,778
605,608,11.70146578,4,779
17,722,11.72369202,3,780
164,337,11.74904735,2,781
165,616,11.78161477,3,782
277,481,11.8114322,2,783
565,712,11.82090324,4,784
629,664,11.83912671,4,785
139,588,11.84651023,3,786
206,456,11.87593368,2,787
278,679,11.90434591,5,788
330,465,11.91642129,2,789
502,676,11.91821509,4,790
186,678,11.9347509,3,791
355,680,11.94480763,4,792
235,646,11.95871947,3,793
230,592,11.97224512,3,794
176,504,12.00580449,2,795
353,658,12.06224827,3,796
62,372,12.0879573,2,797
90,769,12.08911079,4,798
348,649,12.10228254,3,799
341,612,12.15862519,4,800
83,751,12.18121334,4,801
76,628,12.19555482,3,802
350,503,12.26825544,2,803
539,589,12.34396001,4,804
35,706,12.35032894,5,805
423,772,12.35196525,3,806
59,128,12.44732012,2,807
346,626,12.54005752,3,808
654,729,12.54260238,4,809
424,440,12.54628575,2,810
398,490,12.56816523,2,811
247,768,12.6986117,3,812
41,802,12.71482899,4,813
237,692,12.78267518,3,814
183,651,12.786549,3,815
6,764,12.82526955,4,816
140,787,12.85932576,3,817
137,645,12.87709535,3,818
568,710,13.07180836,5,819
720,786,13.1082675,6,820
672,721,13.1196418,6,821
270,532,13.14093254,3,822
683,707,13.14554324,4,823
291,713,13.162382,3,824
415,454,13.16809459,2,825
705,725,13.20838487,5,826
613,799,13.22433618,5,827
3,4,13.23244497,2,828
85,587,13.24183703,3,829
511,746,13.25928205,4,830
507,724,13.30008867,3,831
84,767,13.3168507,3,832
476,500,13.36487149,2,833
549,691,13.66129829,5,834
479,662,13.66764194,3,835
661,735,13.70284109,4,836
617,733,13.72608765,5,837
640,708,13.76730316,5,838
518,687,13.78878378,5,839
343,637,13.78983478,3,840
268,817,13.80264419,4,841
419,435,13.82678854,2,842
244,483,13.88390893,2,843
77,811,14.19886471,3,844
218,457,14.32026383,2,845
584,652,14.45978898,5,846
693,790,14.50523953,6,847
109,703,14.52629344,3,848
94,284,14.55115839,2,849
622,671,14.65348322,5,850
689,726,14.6696588,5,851
639,736,14.7564717,4,852
748,777,14.76724132,4,853
403,749,14.78083452,3,854
657,825,14.84284594,4,855
665,698,14.86457655,5,856
529,579,14.88729131,4,857
39,810,14.94435415,3,858
9,815,15.03452532,4,859
136,632,15.04378496,4,860
742,785,15.13915271,8,861
669,829,15.14405099,8,862
717,794,15.16769759,7,863
754,789,15.27404222,5,864
600,791,15.30821997,6,865
615,803,15.47991018,5,866
594,779,15.49695201,7,867
734,834,15.5220985,7,868
563,765,15.53107342,7,869
638,700,15.64882511,7,870
555,739,15.78429139,4,871
656,688,15.82716902,6,872
699,840,15.91350479,5,873
227,296,16.31012804,2,874
12,668,16.44197499,3,875
738,750,16.45488622,7,876
716,759,16.4575575,5,877
684,783,16.51967648,5,878
593,780,16.54012718,5,879
807,831,16.55479676,5,880
606,827,16.67643448,7,881
659,670,16.69357161,4,882
762,822,16.77221191,6,883
377,757,16.87289261,3,884
675,755,17.02969647,6,885
714,792,17.03997115,8,886
756,795,17.12716062,5,887
655,845,17.12888107,4,888
740,864,17.13885446,8,889
833,842,17.24909262,4,890
763,797,17.3217876,4,891
718,744,17.34342498,7,892
723,798,17.37420575,7,893
697,818,17.38529254,5,894
784,800,17.41005621,8,895
731,814,17.41164989,5,896
554,625,17.47847723,5,897
702,766,17.50143938,7,898
619,711,17.62938512,4,899
437,760,17.67257496,3,900
728,812,17.79047771,6,901
770,843,17.83701301,4,902
673,727,17.92433144,5,903
773,852,18.00853929,6,904
685,837,18.02526973,8,905
732,894,18.08997,7,906
636,849,18.09886557,4,907
560,686,18.17289023,4,908
774,851,18.46860294,9,909
263,690,18.53138659,3,910
788,860,18.68049737,9,911
677,796,18.75188436,6,912
826,862,18.79038241,13,913
607,872,18.79200072,9,914
701,859,18.83150643,6,915
808,819,18.96509061,8,916
781,848,18.99035175,5,917
635,836,19.0181811,6,918
821,905,19.07331583,14,919
730,869,19.1067478,11,920
776,841,19.16910152,6,921
614,832,19.81533266,5,922
753,873,19.93997694,7,923
741,858,19.95761084,5,924
709,899,20.13482074,8,925
663,866,20.24181015,7,926
880,884,20.5779408,8,927
611,906,20.80732453,11,928
647,775,20.86466678,7,929
674,857,20.92438428,6,930
793,801,21.05227056,7,931
621,805,21.13269106,8,932
761,828,21.24276866,4,933
782,926,21.2480631,10,934
838,876,21.30599008,12,935
874,923,21.55409263,9,936
820,914,22.09160979,15,937
745,878,22.20581309,8,938
856,868,22.27844468,12,939
650,882,22.33816288,6,940
883,888,22.49662728,10,941
844,853,22.67981061,7,942
743,877,22.80119502,7,943
715,895,22.87003523,12,944
846,932,23.06995574,13,945
813,908,23.13763411,8,946
758,804,23.22974154,9,947
871,891,23.58722195,8,948
806,879,23.65610136,8,949
752,865,23.89442413,10,950
854,885,24.07953639,9,951
910,942,24.23398401,10,952
816,887,24.30280989,9,953
747,902,24.34666709,7,954
719,886,24.52176926,11,955
903,929,24.65693949,12,956
778,855,25.29943169,7,957
890,940,25.45839881,10,958
863,939,25.58819348,19,959
737,809,25.71336637,8,960
835,921,25.71481852,9,961
771,941,25.73968521,13,962
896,907,26.06285398,9,963
839,946,26.59184302,13,964
847,901,27.36385827,12,965
861,951,28.21065982,17,966
916,938,28.32436221,16,967
850,918,28.45410476,11,968
695,824,28.55736699,6,969
823,867,28.78251559,11,970
870,909,29.01075926,16,971
928,930,29.05945024,17,972
943,954,29.16848169,14,973
898,915,29.20566718,13,974
893,920,29.44875769,18,975
892,955,29.47581366,18,976
900,958,29.87736697,13,977
950,965,29.97228241,22,978
904,917,30.74543299,11,979
957,969,31.28671879,13,980
